Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Tim Tebow*\tim-tebow-1,Florida,SEC,13,234,350,66.9,3286,9.4,10.4,32,6,172.5
2,Paul Smith*\paul-smith-2,Tulsa,CUSA,14,327,544,60.1,5065,9.3,9.5,47,19,159.8
3,Sam Bradford*\sam-bradford-1,Oklahoma,Big 12,14,237,341,69.5,3121,9.2,10.2,36,8,176.5
4,Mike Teel*\mike-teel-1,Rutgers,Big East,13,203,349,58.2,3147,9,8.5,20,13,145.4
5,Colin Kaepernick*\colin-kaepernick-1,Nevada,WAC,11,133,247,53.8,2175,8.8,9.8,19,3,150.8
6,Colt Brennan*\colt-brennan-1,Hawaii,WAC,12,359,510,70.4,4343,8.5,8.5,38,17,159.8
7,Brian Brohm\brian-brohm-1,Louisville,Big East,12,308,473,65.1,4024,8.5,8.6,30,12,152.4
8,Zac Robinson*\zac-robinson-1,Oklahoma State,Big 12,13,201,333,60.4,2824,8.5,8.6,23,9,149
9,Caleb Hanie\caleb-hanie-1,Colorado State,MWC,12,188,293,64.2,2455,8.4,7.3,18,15,144.6
10,Dennis Dixon*\dennis-dixon-1,Oregon,Pac-10,10,172,254,67.7,2136,8.4,9.3,20,4,161.2
11,Case Keenum\case-keenum-1,Houston,CUSA,13,187,273,68.5,2259,8.3,7.7,14,10,147.6
12,Ben Mauk*\ben-mauk-1,Cincinnati,Big East,12,235,386,60.9,3121,8.1,8.6,31,9,150.6
13,Chris Turner*\chris-turner-1,Maryland,ACC,11,153,241,63.5,1958,8.1,7.4,7,7,135.5
14,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,512,713,71.8,5705,8,8.5,48,14,157.3
15,Rudy Carpenter*\rudy-carpenter-1,Arizona State,Pac-10,13,246,398,61.8,3202,8,8.2,25,10,145.1
16,Todd Boeckman*\todd-boeckman-1,Ohio State,Big Ten,13,191,299,63.9,2379,8,7.5,25,14,148.9
17,Pat White*\pat-white-1,West Virginia,Big East,13,144,216,66.7,1724,8,8.4,14,4,151.4
18,Taylor Tharp*\taylor-tharp-1,Boise State,WAC,13,289,423,68.3,3340,7.9,8.1,30,11,152.9
19,Bernard Morris\bernard-morris-1,Marshall,CUSA,12,253,398,63.6,3149,7.9,7.6,17,10,139.1
