Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Rich Gannon*+\GannRi00,OAK,37,QB,16,16,11/5/00,418,618,67.6,4689,26,4.2,10,1.6,227,75,7.6,7.7,11.2,293.1,97.3,36,214,6.84,6.95,5.5,1,1
2,Drew Bledsoe*\BledDr00,BUF,30,QB,16,16,8/8/00,375,610,61.5,4359,24,3.9,15,2.5,222,73,7.1,6.8,11.6,272.4,86,54,369,6.01,5.72,8.1,2,4
3,Tom Brady\BradTo00,NWE,25,QB,16,16,9/7/00,373,601,62.1,3764,28,4.7,14,2.3,185,49,6.3,6.1,10.1,235.3,85.7,31,190,5.66,5.54,4.9,2,3
4,Peyton Manning*\MannPe00,IND,26,QB,16,16,10/6/00,392,591,66.3,4200,27,4.6,19,3.2,213,69,7.1,6.6,10.7,262.5,88.8,23,145,6.6,6.09,3.7,4,5
5,Brett Favre*\FavrBr00,GNB,33,QB,16,16,12/4/00,341,551,61.9,3658,27,4.9,16,2.9,189,85,6.6,6.3,10.7,228.6,85.6,26,188,6.01,5.7,4.5,3,3
6,Daunte Culpepper\CulpDa00,MIN,25,QB,16,16,6/10/00,333,549,60.7,3853,18,3.3,23,4.2,189,61,7,5.8,11.6,240.8,75.3,47,244,6.06,4.92,7.9,3,4
7,Kerry Collins\CollKe00,NYG,30,QB,16,16,10/6/00,335,545,61.5,4073,19,3.5,14,2.6,193,82,7.5,7,12.2,254.6,85.4,24,152,6.89,6.45,4.2,5,5
8,Jake Plummer\PlumJa00,ARI,28,QB,16,16,5/11/00,284,530,53.6,2972,18,3.4,20,3.8,147,80,5.6,4.6,10.5,185.8,65.7,36,248,4.81,3.86,6.4,2,4
9,Aaron Brooks\BrooAa00,NOR,26,QB,16,16,9/7/00,283,528,53.6,3572,27,5.1,15,2.8,165,64,6.8,6.5,12.6,223.3,80.1,36,236,5.91,5.68,6.4,3,3
10,Jeff Garcia*\GarcJe00,SFO,32,QB,16,16,10/6/00,328,528,62.1,3344,21,4,10,1.9,173,76,6.3,6.3,10.2,209,85.6,17,93,5.97,5.91,3.1,2,4
11,Drew Brees\BreeDr00,SDG,23,QB,16,16,8/8/00,320,526,60.8,3284,17,3.2,16,3,164,52,6.2,5.5,10.3,205.3,76.9,24,180,5.64,4.95,4.4,2,4
12,Steve McNair\McNaSt00,TEN,29,QB,16,16,11/5/00,301,492,61.2,3387,22,4.5,15,3,179,55,6.9,6.4,11.3,211.7,84,21,121,6.37,5.91,4.1,3,3
13,Jon Kitna\KitnJo00,CIN,30,QB,14,12,2/10/00,294,473,62.2,3178,16,3.4,16,3.4,159,72,6.7,5.9,10.8,227,79.1,24,159,6.07,5.27,4.8,1,1
14,Trent Green\GreeTr00,KAN,32,QB,16,16,8/8/00,287,470,61.1,3690,26,5.5,13,2.8,177,99,7.9,7.7,12.9,230.6,92.6,26,141,7.16,7.02,5.2,4,4
15,Brad Johnson*\JohnBr00,TAM,34,QB,13,13,10/3/00,281,451,62.3,3049,22,4.9,6,1.3,144,76,6.8,7.1,10.9,234.5,92.9,21,121,6.2,6.56,4.4,0,1
16,David Carr\CarrDa00,HOU,23,QB,16,16,4/12/00,233,444,52.5,2592,9,2,15,3.4,118,81,5.8,4.7,11.1,162,62.8,76,411,4.19,3.24,14.6,2,3
17,Tim Couch\CoucTi00,CLE,25,QB,14,14,8/6/00,273,443,61.6,2842,18,4.1,18,4.1,129,78,6.4,5.4,10.4,203,76.8,30,213,5.56,4.61,6.3,3,4
18,Brian Griese\GrieBr00,DEN,27,QB,13,13,8/5/00,291,436,66.7,3214,15,3.4,15,3.4,157,82,7.4,6.5,11,247.2,85.6,34,237,6.33,5.54,7.2,1,1
19,Joey Harrington\HarrJo00,DET,24,QB,14,12,3/9/00,215,429,50.1,2294,12,2.8,16,3.7,111,64,5.3,4.2,10.7,163.9,59.9,8,75,5.08,3.98,1.8,2,2
20,Michael Vick*\VickMi00,ATL,22,QB,15,15,8/6/01,231,421,54.9,2936,16,3.8,8,1.9,140,74,7,6.9,12.7,195.7,81.6,33,206,6.01,5.93,7.3,2,2
21,Matt Hasselbeck\HassMa00,SEA,27,QB,16,10,5/5/00,267,419,63.7,3075,15,3.6,10,2.4,160,49,7.3,7,11.5,192.2,87.8,26,143,6.59,6.25,5.8,1,3
22,Mark Brunell\BrunMa00,JAX,32,QB,15,15,6/9/00,245,416,58.9,2788,17,4.1,7,1.7,140,79,6.7,6.8,11.4,185.9,85.7,34,210,5.73,5.78,7.6,0,1
23,Chad Pennington\PennCh01,NYJ,26,QB,15,12,8/4/00,275,399,68.9,3120,22,5.5,6,1.5,168,47,7.8,8.2,11.3,208,104.2,22,135,7.09,7.49,5.2,1,2
24,Rodney Peete\PeetRo00,CAR,36,QB,14,14,7/7/00,223,381,58.5,2630,15,3.9,14,3.7,116,69,6.9,6,11.8,187.9,77.4,31,192,5.92,5.12,7.5,0,1
25,Tommy Maddox\MaddTo00,PIT,31,QB,15,11,7/3/01,234,377,62.1,2836,20,5.3,16,4.2,137,72,7.5,6.7,12.1,189.1,85.2,26,148,6.67,5.88,6.5,2,2
26,Donovan McNabb*\McNaDo00,PHI,26,QB,10,10,7/3/00,211,361,58.4,2289,17,4.7,6,1.7,108,59,6.3,6.5,10.8,228.9,86,28,166,5.46,5.64,7.2,0,1
27,Jim Miller\MillJi00,CHI,31,QB,10,8,2/6/00,180,314,57.3,1944,13,4.1,9,2.9,98,54,6.2,5.7,10.8,194.4,77.5,16,101,5.58,5.15,4.8,2,2
28,Jeff Blake\BlakJe00,BAL,32,QB,11,10,4/6/00,165,295,55.9,2084,13,4.4,11,3.7,97,77,7.1,6.3,12.6,189.5,77.3,30,203,5.79,5.06,9.2,1,1
29,Jay Fiedler\FiedJa00,MIA,31,QB,11,10,7/3/00,179,292,61.3,2024,14,4.8,9,3.1,111,59,6.9,6.5,11.3,184,85.2,13,89,6.34,5.93,4.3,1,1
30,Chad Hutchinson\HutcCh00,DAL,25,QB,9,9,2/7/00,127,250,50.8,1555,7,2.8,8,3.2,65,58,6.2,5.3,12.2,172.8,66.3,34,265,4.54,3.77,12,1,1
31,Shane Matthews\MattSh00,WAS,32,qb,8,7,3/4/00,124,237,52.3,1251,11,4.6,6,2.5,66,43,5.3,5.1,10.1,156.4,72.6,9,54,4.87,4.66,3.7,,
32,Patrick Ramsey\RamsPa00,WAS,23,qb,9,5,2/3/00,117,227,51.5,1539,9,4,8,3.5,67,62,6.8,6,13.2,171,71.8,18,132,5.74,5.01,7.3,,
33,Quincy Carter\CartQu00,DAL,25,qb,7,7,3/4/00,125,221,56.6,1465,7,3.2,8,3.6,67,80,6.6,5.6,11.7,209.3,72.3,19,130,5.56,4.65,7.9,2,2
34,Kurt Warner\WarnKu00,STL,31,qb,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5,68,43,6.5,4.5,9.9,204.4,67.4,21,130,5.4,3.59,8.7,,
35,Marc Bulger\BulgMa00,STL,25,qb,7,7,6/1/00,138,214,64.5,1826,14,6.5,6,2.8,87,58,8.5,8.6,13.2,260.9,101.5,12,102,7.63,7.67,5.3,2,2
36,Jamie Martin\MartJa00,STL,32,qb,5,2,0-2-0,124,195,63.6,1216,7,3.6,10,5.1,68,33,6.2,4.6,9.8,243.2,71.7,10,77,5.56,4.04,4.9,0,0
37,Chris Redman\RedmCh00,BAL,25,qb,6,6,3/3/00,97,182,53.3,1034,7,3.8,3,1.6,49,36,5.7,5.7,10.7,172.3,76.1,11,68,5.01,5.03,5.7,,
38,Trent Dilfer\DilfTr00,SEA,30,qb,6,6,2/4/00,94,168,56,1182,4,2.4,6,3.6,51,83,7,5.9,12.6,197,71.1,7,36,6.55,5.46,4,,
